,,,,,
,ID,Title,Mod,Tournament - Stage,Rank Range
,1567645,Asriel - Kegare Naki Yume [Marathon] (Testo),TB1,Bundesländer Battle 2022 Finals,1-∞
,2633754,USAO - TAPIOCA [FURY] (Realazy),TB2,Bundesländer Battle 2022 Finals,1-∞
,1968148,JUNNA - Kono Yubi Tomare [Crazy] (Atalanta),TB3,Bundesländer Battle 2022 Finals,1-∞
,,,,,
,3351795,Risa Yuzuki - Cinderella Maker [Extreme] (BarkingMadDog),NM1,Bundesländer Battle 2022 Grandfinals,1-∞
,1682412,xi - over the top [FOUR DIMENSIONS] (AMX),NM2,Bundesländer Battle 2022 Grandfinals,1-∞
,2255709,Emiru no Aishita Tsukiyo ni Dai San Gensou Kyoku wo - ito [Petal] (Lasse),NM3,Bundesländer Battle 2022 Grandfinals,1-∞
,2651798,Ashrount - Cataraxir [Abyss] (Realazy),NM4,Bundesländer Battle 2022 Grandfinals,1-∞
,3491877,Undead Corporation - Artificial Sorrow (inst.) [Messatsu] (Zetera),NM5,Bundesländer Battle 2022 Grandfinals,1-∞
,3333706,Rish feat. Choko - Marukute Hayakute Susamajii Rhythm (Motto Susamajii Ver) [CANDY PANIC BOMB!] (Nathan),NM6,Bundesländer Battle 2022 Grandfinals,1-∞
,2348869,Akatsuki Records - Trance Dance Anarchy [Don't Look Back] (eiri-),HD1,Bundesländer Battle 2022 Grandfinals,1-∞
,3216888,DJ Myosuke - Killing Rhythm [Massacre] (Realazy),HD2,Bundesländer Battle 2022 Grandfinals,1-∞
,3491872,ginkiha - eastward [Journey to the BLB Edit] (Suicune3),HD3,Bundesländer Battle 2022 Grandfinals,1-∞
,3227490,Kurosaki Maon - Setsuna no Kajitsu [Utopia] (SkyFlame),HR1,Bundesländer Battle 2022 Grandfinals,1-∞
,1419149,papiyon feat. Hatsune Miku - White Prism [Prism] (Arieruco),HR2,Bundesländer Battle 2022 Grandfinals,1-∞
,3471908,Feryquitous feat. Aitsuki Nakuru - Tsukuyomi ni Naru [Ethereal] (captin1),HR3,Bundesländer Battle 2022 Grandfinals,1-∞
,2987286,CHiCO with HoneyWorks - Otome-domo yo. [Shiori wa iranai.] (-zabijak),DT1,Bundesländer Battle 2022 Grandfinals,1-∞
,3491703,ZUN - Hoshi no Utsuwa ~ Casket of Star [Lunatic] (Kurashina Asuka),DT2,Bundesländer Battle 2022 Grandfinals,1-∞
,589965,Yuyoyuppe - AiAe [Another] (Fort),DT3,Bundesländer Battle 2022 Grandfinals,1-∞
,929453,Hatsuki Yura - Eclipse Parade [Zero's Insane] (Vert),DT4,Bundesländer Battle 2022 Grandfinals,1-∞
,2719439,Elements Garden - Mugen Kidou [read aokana] (Nathan),FM1,Bundesländer Battle 2022 Grandfinals,1-∞
,3279860,cosMo@BousouP feat. Hatsune Miku - Machinegun Poem Doll [Chaotic Burst of Maniac Rhythm] (Zoli),FM2,Bundesländer Battle 2022 Grandfinals,1-∞
,1853452,Diao Ye Zong feat. Meramipop - curse upon me! [Love-Coloured Magic!] ([Mad]),TB1,Bundesländer Battle 2022 Grandfinals,1-∞
,1207605,"Onocchi, Xenon - Suigetsu Kyouka Koubou Issen [Roukanken] (Catshy)",TB2,Bundesländer Battle 2022 Grandfinals,1-∞
,3237678,Toby Fox - THE WORLD REVOLVING (Camellia Remix) [I CAN DO ANYTHING!] (Ilay),TB3,Bundesländer Battle 2022 Grandfinals,1-∞
,,,,,
,3249564,KISIDA KYODAN & THE AKEBOSI ROCKETS - Seventh World [Emotions] (Shime),NM1, nik's winter cup 2022 Qualifiers,1-∞
,3400213,UI-70 - Mou Uta Shika Kikoenai [Expert (buff ver.)] (Kurashina Asuka),NM2, nik's winter cup 2022 Qualifiers,1-∞
,649034,FujuniseikouyuuP - Make a Loser [0108 style] (val0108),NM3, nik's winter cup 2022 Qualifiers,1-∞
,3228591,Zekk - Freefall [0pp's bread is dead Contest fix] (0ppInOsu),NM4, nik's winter cup 2022 Qualifiers,1-∞
,3400091,I love you orchestra - Coconut Love [Nucifera] (funny),HD1, nik's winter cup 2022 Qualifiers,1-∞
,2907086,Camellia feat. Nanahira - POLKAMANIA [LASSE'S POLKANOTHER] (Mir),HD2, nik's winter cup 2022 Qualifiers,1-∞
